use,python,module,function,name,column,file,code,run,import,install,pip,package,version,instal,command,type,check,object,way,list,line,read,method,element,extend,append,want,virtualenv,environment,venv,virtual,pyenv,pipenv,exception,raise,class,error,example,instance,call,static,argument,copy,variable,value,decorator,make,return,string
0.026,0.018,0.015,0.014,0.013,0.013,0.012,0.011,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025,0.034,,0.006,,,,,0.010,,0.023,0.018,0.012,0.009,0.008,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029,0.022,,0.011,,,0.008,0.010,,,,,,,,,0.023,0.011,0.010,0.008,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.028,0.019,,0.009,,,0.030,0.007,,,,,,,,,,,,0.007,0.010,0.013,0.008,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,
0.023,0.012,,0.009,,,,,,,,,,,,,,,0.011,,0.040,,,0.009,0.014,0.013,0.013,0.008,,,,,,,,,,,,,,,,,,,,,,
0.024,0.015,,0.009,,,0.007,,,,0.015,0.018,0.024,0.027,0.008,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020,0.019,,,,,,,,,,0.008,0.011,,,,,,,,,,,,,,,,0.011,0.011,0.010,0.009,0.008,0.007,,,,,,,,,,,,,,,,
0.028,0.022,,,,,0.008,,,,,,,,,,,,,0.007,,,,,,,,0.011,,,,,,,0.027,0.015,0.012,0.009,0.008,,,,,,,,,,,
0.029,0.019,,0.012,,,,,,,,,,,,,,,0.015,,,,,0.030,,,,,,,,,,,,,0.045,,,0.016,0.011,0.010,0.009,,,,,,,
0.017,0.021,,0.011,,,,,,,,,,,,,,,0.021,,0.022,,,0.011,,,,,,,,,,,,,0.010,,,,,,,0.013,0.009,0.008,,,,
0.018,0.011,,0.046,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,0.010,,0.013,,0.011,,,,0.036,0.009,0.008,
0.020,0.010,,0.009,,,,0.009,,,,,,,,,0.038,0.016,0.014,,0.022,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,0.008
